top - 17:24:54 up  5:22,  1 user,  load average: 0.54, 0.66, 0.52
Tasks: 427 total,   1 running, 426 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.9 us,  2.5 sy,  0.0 ni, 91.2 id,  0.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15767.8 total,   1922.7 free,   6280.3 used,   7564.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6892.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33569 vandana+  20   0  755040  43276  31188 S  12.0   0.3   0:00.13 terrafo+
    269 root       0 -20       0      0      0 I   4.0   0.0   0:00.07 kworker+
   4821 vandana+  20   0 1130.0g 281520 117348 S   4.0   1.7   1:24.00 chrome
  27333 root      20   0 3733696  92168  48288 S   4.0   0.6   0:11.27 dockerd
  27655 root      20   0  742084  39660  24796 S   4.0   0.2   0:03.95 cri-doc+
  28075 root      20   0 2303852 100184  64512 S   4.0   0.6   0:04.69 kubelet
  28552 root      20   0   10.7g  67656  24876 S   4.0   0.4   0:06.60 etcd
  28554 root      20   0 1112656 370000  71104 S   4.0   2.3   0:13.73 kube-ap+
  28651 root      20   0  826032 104956  60512 S   4.0   0.7   0:04.35 kube-co+
  33267 vandana+  20   0  774408  77308  39272 S   4.0   0.5   0:01.47 terrafo+
  33596 vandana+  20   0   20760   4532   3588 R   4.0   0.0   0:00.01 top
      1 root      20   0  168532  11780   8252 S   0.0   0.1   0:01.78 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.67 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:09.25 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 migrati+
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     21 root      20   0       0      0      0 S   0.0   0.0   0:02.76 ksoftir+
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.20 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftir+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.08 ksoftir+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     44 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migrati+
     45 root      20   0       0      0      0 S   0.0   0.0   0:01.87 ksoftir+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     49 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     50 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     51 root      20   0       0      0      0 S   0.0   0.0   0:01.72 ksoftir+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     55 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     56 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.36 ksoftir+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     62 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     63 root      20   0       0      0      0 S   0.0   0.0   0:00.02 khungta+
     64 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.53 kcompac+
     67 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     68 root      39  19       0      0      0 S   0.0   0.0   0:00.15 khugepa+
    116 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.94 kworker+
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
    130 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    134 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    136 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    137 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    138 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    139 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    140 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    141 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
    153 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    166 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:07.39 kworker+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.52 kworker+
    242 root     -51   0       0      0      0 S   0.0   0.0   0:52.33 irq/51-+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker+
    266 root      20   0       0      0      0 S   0.0   0.0   0:01.57 jbd2/nv+
    267 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    308 root      19  -1   52632  20544  18628 S   0.0   0.1   0:01.10 systemd+
    332 root      20   0   24996   7580   3988 S   0.0   0.0   0:00.46 systemd+
    404 root      20   0       0      0      0 I   0.0   0.0   0:02.28 kworker+
    424 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    463 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    464 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    465 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    467 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    507 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    509 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    510 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    582 root     -51   0       0      0      0 S   0.0   0.0   0:00.23 irq/142+
    818 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 USBC000+
    939 systemd+  20   0   24944  13448   9180 S   0.0   0.1   0:02.38 systemd+
   1165 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1205 root      20   0    2548    704    636 S   0.0   0.0   0:00.18 acpid
   1207 avahi     20   0   19764   4924   3600 S   0.0   0.0   0:28.84 avahi-d+
   1208 root      20   0    8424   4464   4104 S   0.0   0.0   0:00.02 bluetoo+
   1210 message+  20   0   35044   7320   4256 S   0.0   0.0   0:10.05 dbus-da+
   1212 root      20   0  886964  22712  17096 S   0.0   0.1   0:13.35 Network+
   1219 root      20   0   81908   3652   3300 S   0.0   0.0   0:01.03 irqbala+
   1222 root      20   0   39732  20656  11956 S   0.0   0.1   0:00.12 network+
   1228 root      20   0  259692  11376   7008 S   0.0   0.1   0:01.91 polkitd
   1231 syslog    20   0  234536   5296   3724 S   0.0   0.0   0:00.30 rsyslogd
   1234 root      20   0 1466724  40944  20232 S   0.0   0.3   0:05.15 snapd
   1239 root      20   0   48908  13988  11952 S   0.0   0.1   0:00.08 sssd
   1247 root      20   0  235604   5708   5140 S   0.0   0.0   0:00.02 switche+
   1248 root      20   0  273908  10856   9852 S   0.0   0.1   1:29.37 thermald
   1249 root      20   0  393820  12848  10232 S   0.0   0.1   0:00.14 udisksd
   1250 root      20   0   14336   9512   8204 S   0.0   0.1   0:01.92 wpa_sup+
